                    アップトゥデイト                  ,                    ニホンピロバロン                  
                    アップトゥデイト                  ,                    タイセイドリーム                  
                    アップトゥデイト                  ,マイネルプロンプト                  
                    アップトゥデイト                  ,                    シンキングダンサー                  
                    アップトゥデイト                  ,                    ミヤジタイガ                  
                    アップトゥデイト                  ,                    プレシャスタイム                  
                    アップトゥデイト                  ,                    ルペールノエル                  
                    アップトゥデイト                  ,シゲルクロカジキ                  
                    アップトゥデイト                  ,                    シゲルロウニンアジ                  
                    アップトゥデイト                  ,                      エルゼロ                      
                    アップトゥデイト                  ,エアカーディナル                  
                    アップトゥデイト                  ,                    トーセンメリッサ                  
