                    コパノマーティン                  ,                    アドマイヤマーズ                  
                    コパノマーティン                  ,                    クリノガウディー                  
                    コパノマーティン                  ,                    グランアレグリア                  
                    コパノマーティン                  ,                    ファンタジスト                  
                    コパノマーティン                  ,                    ディープダイバー                  
                    コパノマーティン                  ,                    エメラルファイト                  
                    コパノマーティン                  ,アスターペガサス                  
                    コパノマーティン                  ,                    ヒラソール                  
                    コパノマーティン                  ,                    イッツクール                  
                    コパノマーティン                  ,                    マイネルサーパス                  
                    コパノマーティン                  ,                    ドゴール                  
                    コパノマーティン                  ,                    ケイデンスコール                  
                    コパノマーティン                  ,                    ソルトイブキ                  
                    コパノマーティン                  ,                    ニホンピロヘンソン                  
