                    ドゴール                  ,                    アドマイヤマーズ                  
                    ドゴール                  ,                    クリノガウディー                  
                    ドゴール                  ,                    グランアレグリア                  
                    ドゴール                  ,                    ファンタジスト                  
                    ドゴール                  ,                    ディープダイバー                  
                    ドゴール                  ,                    エメラルファイト                  
                    ドゴール                  ,アスターペガサス                  
                    ドゴール                  ,                    ヒラソール                  
                    ドゴール                  ,                    イッツクール                  
                    ドゴール                  ,                    マイネルサーパス                  
                    ドゴール                  ,                    コパノマーティン                  
                    ドゴール                  ,                    ケイデンスコール                  
                    ドゴール                  ,                    ソルトイブキ                  
                    ドゴール                  ,                    ニホンピロヘンソン                  
