 アポロケンタッキー, マスクゾロ
 アポロケンタッキー, ピオネロ
 アポロケンタッキー, ミツバ
 アポロケンタッキー, カゼノコ
 アポロケンタッキー, シンゼンレンジャー
 アポロケンタッキー, トウシンイーグル
 アポロケンタッキー, キョウエイギア
 アポロケンタッキー, ジュンファイトクン
 アポロケンタッキー, メイショウイチオシ
 アポロケンタッキー, ランウェイワルツ
 アポロケンタッキー, グレンツェント
 アポロケンタッキー, ロワジャルダン
 アポロケンタッキー, モンドクラッセ
 アポロケンタッキー, メイショウヒコボシ
 アポロケンタッキー, モルトベーネ
 アポロケンタッキー, インカンテーション
 アポロケンタッキー, タムロミラクル
 アポロケンタッキー, マイネルクロップ
 アポロケンタッキー, サクラエール
 アポロケンタッキー, ラニ
 アポロケンタッキー, アスカノロマン
 アポロケンタッキー, ナリタスーパーワン
 アポロケンタッキー, サウンドトゥルー
 アポロケンタッキー, アウォーディー
 アポロケンタッキー, カフジテイク
 アポロケンタッキー, ノンコノユメ
 アポロケンタッキー, モーニン
 アポロケンタッキー, メイショウスミトモ
 アポロケンタッキー, ゴールドドリーム
 アポロケンタッキー, コパノリッキー
 アポロケンタッキー, ブライトアイディア
 アポロケンタッキー, ブライトライン
 アポロケンタッキー, テイエムジンソク
 アポロケンタッキー, ケイティブレイブ
 アポロケンタッキー, キングズガード
 アポロケンタッキー, ローズプリンスダム
 アポロケンタッキー, ロンドンタウン
