 アーデント, ディサイファ
 アーデント, マイネルラクリマ
 アーデント, ダークシャドウ
 アーデント, タマモベストプレイ
 アーデント, ダノンヨーヨー
 アーデント, マジェスティハーツ
 アーデント, タムロスカイ
 アーデント, カネトシディオス
 アーデント, トーセンジャガー
 アーデント, ゴールデンナンバー
 アーデント, レインスティック
 アーデント, カルドブレッサ
 アーデント, シルクアーネスト
 アーデント, ペルーサ
 アーデント, フェスティヴタロー
 アーデント, パドトロワ
 アーデント, クラレント
 アーデント, ブレイズアトレイル
 アーデント, ミトラ
 アーデント, キングズオブザサン
 アーデント, サトノギャラント
 アーデント, シャイニープリンス
 アーデント, ミッキードリーム
 アーデント, サダムパテック
 アーデント, タガノブルグ
 アーデント, ショウナンアチーヴ
 アーデント, ネオウィズダム
 アーデント, ウイングドウィール
 アーデント, エキストラエンド
 アーデント, エクセラントカーヴ
 アーデント, モーリス
 アーデント, クラリティシチー
 アーデント, インパルスヒーロー
 アーデント, ウインマーレライ
 アーデント, カオスモス
 アーデント, フラアンジェリコ
 アーデント, マイネルメリエンダ
 アーデント, コスモソーンパーク
 アーデント, インプレスウィナー
 アーデント, ラインスピリット
 アーデント, ダコール
 アーデント, ナカヤマナイト
 アーデント, アルフレード
 アーデント, ラングレー
 アーデント, マイネルディーン
 アーデント, パッションダンス
 アーデント, ユールシンギング
 アーデント, クランモンタナ
 アーデント, ハギノハイブリッド
 アーデント, ヒットザターゲット
 アーデント, アズマシャトル
 アーデント, デウスウルト
 アーデント, メイショウカンパク
 アーデント, マテンロウボス
 アーデント, エイシンヒカリ
 アーデント, サトノアラジン
 アーデント, フルーキー
 アーデント, ヒラボクディープ
 アーデント, フルアクセル
 アーデント, マイネルホウオウ
 アーデント, ノーステア
 アーデント, ゲシュタルト
 アーデント, ダービーフィズ
 アーデント, ヤマカツエース
 アーデント, エアソミュール
 アーデント, レッドレイヴン
 アーデント, ツクバコガネオー
 アーデント, マイネルミラノ
 アーデント, ヴァーゲンザイル
 アーデント, ラブイズブーシェ
 アーデント, リベルタス
 アーデント, サイモントルナーレ
 アーデント, エックスマーク
 アーデント, ホーカーテンペスト
 アーデント, サトノプライマシー
 アーデント, ファントムライト
 アーデント, ロンギングダンサー
 アーデント, スイートサルサ
 アーデント, メドウラーク
 アーデント, ネオブラックダイヤ
 アーデント, アヴニールマルシェ
 アーデント, ミュゼスルタン
 アーデント, ユキノサムライ
