 エアハリファ, ナムラビクター
 エアハリファ, トウショウフリーク
 エアハリファ, ニホンピロアワーズ
 エアハリファ, グレイスフルリープ
 エアハリファ, グランドシチー
 エアハリファ, クリソライト
 エアハリファ, クリールパッション
 エアハリファ, ナリタシルクロード
 エアハリファ, ゴールスキー
 エアハリファ, ミッキードリーム
 エアハリファ, ソロル
 エアハリファ, グラッツィア
 エアハリファ, ダノンバラード
 エアハリファ, グレートチャールズ
 エアハリファ, クリノスターオー
 エアハリファ, ワイドバッハ
 エアハリファ, グレープブランデー
 エアハリファ, ダノンカモン
 エアハリファ, フィールザスマート
 エアハリファ, レッドアルヴィス
 エアハリファ, カチューシャ
 エアハリファ, キョウワダッフィー
 エアハリファ, グランプリブラッド
 エアハリファ, ロイヤルクレスト
 エアハリファ, メイショウカンパク
 エアハリファ, アドマイヤロイヤル
 エアハリファ, タールタン
 エアハリファ, レインボーペガサス
 エアハリファ, レーザーバレット
 エアハリファ, マルカフリート
 エアハリファ, ロゴタイプ
 エアハリファ, キョウエイアシュラ
 エアハリファ, ジョーメテオ
 エアハリファ, ポアゾンブラック
 エアハリファ, サトノタイガー
 エアハリファ, サトノプリンシパル
 エアハリファ, キクノストーム
 エアハリファ, シルクフォーチュン
 エアハリファ, ベストウォーリア
 エアハリファ, コーリンベリー
 エアハリファ, タガノトネール
 エアハリファ, ドリームバレンチノ
 エアハリファ, アドマイヤサガス
 エアハリファ, マルカバッケン
 エアハリファ, サマリーズ
