 エイシンヒカリ, トーセンスターダム
 エイシンヒカリ, デウスウルト
 エイシンヒカリ, フルーキー
 エイシンヒカリ, アズマシャトル
 エイシンヒカリ, ダイワマッジョーレ
 エイシンヒカリ, スマートレイアー
 エイシンヒカリ, マコトブリジャール
 エイシンヒカリ, ウインフルブルーム
 エイシンヒカリ, アドマイヤタイシ
 エイシンヒカリ, シゲルササグリ
 エイシンヒカリ, バッドボーイ
 エイシンヒカリ, サトノアラジン
 エイシンヒカリ, ディサイファ
 エイシンヒカリ, ヒラボクディープ
 エイシンヒカリ, ペルーサ
 エイシンヒカリ, フェスティヴタロー
 エイシンヒカリ, ユールシンギング
 エイシンヒカリ, アーデント
 エイシンヒカリ, フルアクセル
 エイシンヒカリ, マイネルホウオウ
 エイシンヒカリ, ノーステア
 エイシンヒカリ, ゲシュタルト
 エイシンヒカリ, イスラボニータ
 エイシンヒカリ, ダノンシャーク
 エイシンヒカリ, アンビシャス
 エイシンヒカリ, ステファノス
 エイシンヒカリ, クラレント
 エイシンヒカリ, ヴァンセンヌ
 エイシンヒカリ, スピルバーグ
 エイシンヒカリ, グランデッツァ
 エイシンヒカリ, リアルインパクト
 エイシンヒカリ, マーティンボロ
 エイシンヒカリ, ラブリーデイ
 エイシンヒカリ, ショウナンパンドラ
 エイシンヒカリ, アドマイヤデウス
 エイシンヒカリ, ラストインパクト
 エイシンヒカリ, カレンミロティック
 エイシンヒカリ, ダコール
 エイシンヒカリ, ダービーフィズ
 エイシンヒカリ, ワンアンドオンリー
 エイシンヒカリ, サトノクラウン
 エイシンヒカリ, モーリス
 エイシンヒカリ, リアルスティール
 エイシンヒカリ, ロゴタイプ
 エイシンヒカリ, ルージュバック
 エイシンヒカリ, ヒストリカル
 エイシンヒカリ, サトノノブレス
 エイシンヒカリ, カムフィー
 エイシンヒカリ, ヤマカツエース
