 カフジテイク, ノボバカラ
 カフジテイク, ニシケンモノノフ
 カフジテイク, キングズガード
 カフジテイク, ブライトライン
 カフジテイク, グレープブランデー
 カフジテイク, ダノングッド
 カフジテイク, ワンダーコロアール
 カフジテイク, キクノストーム
 カフジテイク, マルカフリート
 カフジテイク, タガノトネール
 カフジテイク, ワイドバッハ
 カフジテイク, クラリティスカイ
 カフジテイク, ムスカテール
 カフジテイク, ポメグラネイト
 カフジテイク, ゴールドドリーム
 カフジテイク, ドリームキラリ
 カフジテイク, ジェベルムーサ
 カフジテイク, モーニン
 カフジテイク, ロンドンタウン
 カフジテイク, ソルティコメント
 カフジテイク, ブラゾンドゥリス
 カフジテイク, メイショウスミトモ
 カフジテイク, ディーズプラネット
 カフジテイク, スズカセクレターボ
 カフジテイク, ベストウォーリア
 カフジテイク, エイシンバッケン
 カフジテイク, モンドクラッセ
 カフジテイク, ラストダンサー
 カフジテイク, グレイスフルリープ
 カフジテイク, ラブバレット
 カフジテイク, ブルミラコロ
 カフジテイク, ベストマッチョ
 カフジテイク, タールタン
 カフジテイク, コーリンベリー
 カフジテイク, ゴーインググレート
 カフジテイク, メイショウウタゲ
 カフジテイク, トウケイタイガー
 カフジテイク, イーデンホール
 カフジテイク, ウォータールルド
 カフジテイク, ナンチンノン
 カフジテイク, マヤノオントロジー
 カフジテイク, アキトクレッセント
 カフジテイク, レヴァンテライオン
 カフジテイク, チャーリーブレイヴ
 カフジテイク, インカンテーション
 カフジテイク, サンライズソア
 カフジテイク, ノンコノユメ
 カフジテイク, ピオネロ
 カフジテイク, クインズサターン
 カフジテイク, ロワジャルダン
 カフジテイク, サンライズノヴァ
 カフジテイク, ゴールデンバローズ
 カフジテイク, サウンドトゥルー
 カフジテイク, アウォーディー
 カフジテイク, アスカノロマン
 カフジテイク, アポロケンタッキー
 カフジテイク, ラニ
 カフジテイク, コパノリッキー
 カフジテイク, ブライトアイディア
 カフジテイク, ケイティブレイブ
 カフジテイク, ホワイトフーガ
 カフジテイク, デニムアンドルビー
 カフジテイク, テイエムジンソク
 カフジテイク, ミツバ
 カフジテイク, グレンツェント
 カフジテイク, ローズプリンスダム
 カフジテイク, モルトベーネ
