 クイーンズターフ, グァンチャーレ
 クイーンズターフ, ロードフェリーチェ
 クイーンズターフ, ナヴィオン
 クイーンズターフ, ダッシングブレイズ
 クイーンズターフ, レンイングランド
 クイーンズターフ, ノースストーム
 クイーンズターフ, ヤマニンマンドール
 クイーンズターフ, ダンツメガヒット
 クイーンズターフ, メイショウマサカゼ
 クイーンズターフ, サトノフラム
 クイーンズターフ, クインズロンペール
 クイーンズターフ, キャットコイン
 クイーンズターフ, ミッキークイーン
 クイーンズターフ, ロカ
 クイーンズターフ, アンドリエッテ
 クイーンズターフ, メイショウメイゲツ
 クイーンズターフ, シングウィズジョイ
 クイーンズターフ, ロッカフラベイビー
 クイーンズターフ, ホワイトウインド
 クイーンズターフ, カービングパス
 クイーンズターフ, ダノングラシアス
 クイーンズターフ, スマートプラネット
 クイーンズターフ, ブルックデイル
 クイーンズターフ, ティーズアライズ
 クイーンズターフ, ラクアミ
 クイーンズターフ, ジュエルクイーン
