 グッドスカイ, オジュウチョウサン
 グッドスカイ, アップトゥデイト
 グッドスカイ, タイセイドリーム
 グッドスカイ, サンレイデューク
 グッドスカイ, クリノダイコクテン
 グッドスカイ, オースミムーン
 グッドスカイ, ウォンテッド
 グッドスカイ, ドリームセーリング
 グッドスカイ, テイエムオドロキ
 グッドスカイ, ティリアンパープル
 グッドスカイ, シンキングダンサー
 グッドスカイ, ビットアレグロ
 グッドスカイ, マイネルフィエスタ
 グッドスカイ, スズカプレスト
 グッドスカイ, ハギノパトリオット
 グッドスカイ, ピースメーカー
 グッドスカイ, ルートヴィヒコード
 グッドスカイ, タマモプラネット
 グッドスカイ, ホーカーテンペスト
 グッドスカイ, ラステラ
 グッドスカイ, リスヴェリアート
 グッドスカイ, マイネルレハイム
 グッドスカイ, メイショウアラワシ
 グッドスカイ, ツジスーパーサクラ
 グッドスカイ, トーアヒミコ
 グッドスカイ, タナトス
 グッドスカイ, マイネルポルトゥス
 グッドスカイ, ユウキビバワンダー
 グッドスカイ, アムールスキー
 グッドスカイ, テイエムオペラドン
 グッドスカイ, アイティテイオー
