 ケイアイアストン, ストレイトガール
 ケイアイアストン, レディオブオペラ
 ケイアイアストン, リトルゲルダ
 ケイアイアストン, マジンプロスパー
 ケイアイアストン, ワキノブレイブ
 ケイアイアストン, プレイズエターナル
 ケイアイアストン, サイレントソニック
 ケイアイアストン, アフォード
 ケイアイアストン, プリンセスメモリー
 ケイアイアストン, スギノエンデバー
 ケイアイアストン, レオンビスティー
 ケイアイアストン, シュプリームギフト
 ケイアイアストン, ラインブラッド
 ケイアイアストン, ザッハトルテ
 ケイアイアストン, テイエムオオタカ
 ケイアイアストン, スマートオリオン
 ケイアイアストン, スノードラゴン
 ケイアイアストン, レッドスパーダ
 ケイアイアストン, インプレスウィナー
 ケイアイアストン, リアルインパクト
 ケイアイアストン, ツインクルスター
 ケイアイアストン, アースソニック
 ケイアイアストン, ミヤジエムジェイ
 ケイアイアストン, ハクサンムーン
 ケイアイアストン, ハノハノ
 ケイアイアストン, アンバルブライベン
