 ケルヴィンサイド, ショウナンアチーヴ
 ケルヴィンサイド, ショウナンワダチ
 ケルヴィンサイド, ベルルミエール
 ケルヴィンサイド, アルマエルナト
 ケルヴィンサイド, ウインフェニックス
 ケルヴィンサイド, イタリアンネオ
 ケルヴィンサイド, マイネルディアベル
 ケルヴィンサイド, カラダレジェンド
 ケルヴィンサイド, キタサンラブコール
 ケルヴィンサイド, イダス
 ケルヴィンサイド, メイショウコルノ
 ケルヴィンサイド, パワースラッガー
 ケルヴィンサイド, モリトビャクミ
 ケルヴィンサイド, クインズハリジャン
 ケルヴィンサイド, レッドアルヴィス
 ケルヴィンサイド, コーリンベリー
 ケルヴィンサイド, バンズーム
 ケルヴィンサイド, アンズチャン
 ケルヴィンサイド, ニシケンモノノフ
 ケルヴィンサイド, ペアン
 ケルヴィンサイド, タガノエッヴィーバ
 ケルヴィンサイド, メイショウパワーズ
 ケルヴィンサイド, ワイルドダラー
 ケルヴィンサイド, メイショウイチオシ
 ケルヴィンサイド, アジアエクスプレス
 ケルヴィンサイド, ルミニズム
 ケルヴィンサイド, メイショウサルーテ
 ケルヴィンサイド, ドリームカイザー
 ケルヴィンサイド, ペガサスジュニア
