 ゴッドカリビアン, ブレイブスマッシュ
 ゴッドカリビアン, イモータル
 ゴッドカリビアン, アストラエンブレム
 ゴッドカリビアン, リセエンヌ
 ゴッドカリビアン, ハレルヤボーイ
 ゴッドカリビアン, シトロン
 ゴッドカリビアン, トウショウドラフタ
 ゴッドカリビアン, クラウンスカイ
 ゴッドカリビアン, マコトルーメン
 ゴッドカリビアン, コスモプロテア
 ゴッドカリビアン, アポロジョージア
 ゴッドカリビアン, エンジェルフェイス
 ゴッドカリビアン, ゲッカコウ
 ゴッドカリビアン, ウインクルサルーテ
 ゴッドカリビアン, ギモーヴ
 ゴッドカリビアン, エテルナミノル
 ゴッドカリビアン, アオイサンシャイン
 ゴッドカリビアン, ラブリーアモン
 ゴッドカリビアン, ルフォール
 ゴッドカリビアン, アオイプリンセス
 ゴッドカリビアン, ラルク
 ゴッドカリビアン, フェイズベロシティ
 ゴッドカリビアン, ヴィブロス
 ゴッドカリビアン, フジマサアクトレス
 ゴッドカリビアン, ペルソナリテ
 ゴッドカリビアン, カジノクイーン
