 サイレントメロディ, ニホンピロアワーズ
 サイレントメロディ, グランドシチー
 サイレントメロディ, マイネルバイカ
 サイレントメロディ, ダブルスター
 サイレントメロディ, サトノプリンシパル
 サイレントメロディ, グラッツィア
 サイレントメロディ, ヴァンヌーヴォー
 サイレントメロディ, グレープブランデー
 サイレントメロディ, ソリタリーキング
 サイレントメロディ, ナムラタイタン
 サイレントメロディ, ケイアイレオーネ
 サイレントメロディ, スタッドジェルラン
 サイレントメロディ, ゲシュタルト
 サイレントメロディ, オースミイチバン
 サイレントメロディ, アドバンスウェイ
 サイレントメロディ, ウインバリアシオン
 サイレントメロディ, ホッコーブレーヴ
 サイレントメロディ, ラストインパクト
 サイレントメロディ, サトノアポロ
 サイレントメロディ, フェノーメノ
 サイレントメロディ, ダービーフィズ
 サイレントメロディ, アスカクリチャン
 サイレントメロディ, ジャガーメイル
 サイレントメロディ, オーシャンブルー
 サイレントメロディ, サクラアルディート
 サイレントメロディ, アドマイヤフライト
 サイレントメロディ, プロモントーリオ
 サイレントメロディ, マイネルジェイド
 サイレントメロディ, トレイルブレイザー
 サイレントメロディ, フェイムゲーム
 サイレントメロディ, クリールカイザー
 サイレントメロディ, スーパームーン
 サイレントメロディ, アドマイヤケルソ
 サイレントメロディ, ラブリーデイ
 サイレントメロディ, モビール
 サイレントメロディ, ネオブラックダイヤ
 サイレントメロディ, セイクリッドバレー
 サイレントメロディ, デスペラード
 サイレントメロディ, コスモロビン
 サイレントメロディ, リキサンステルス
 サイレントメロディ, スマートギア
 サイレントメロディ, サイモントルナーレ
 サイレントメロディ, プレティオラス
 サイレントメロディ, マイネルメダリスト
 サイレントメロディ, キズナ
 サイレントメロディ, タニノエポレット
 サイレントメロディ, ゴールドシップ
 サイレントメロディ, サトノノブレス
 サイレントメロディ, アドマイヤラクティ
 サイレントメロディ, レッドカドー
 サイレントメロディ, ヒットザターゲット
