 シャドウウィザード, サンデーウィザード
 シャドウウィザード, マイネルフロスト
 シャドウウィザード, メートルダール
 シャドウウィザード, フルーキー
 シャドウウィザード, バロンドゥフォール
 シャドウウィザード, トルークマクト
 シャドウウィザード, ムスカテール
 シャドウウィザード, トーセンレーヴ
 シャドウウィザード, ロンギングダンサー
 シャドウウィザード, パリカラノテガミ
 シャドウウィザード, ウインインスパイア
 シャドウウィザード, レッドソロモン
 シャドウウィザード, シャイニープリンス
 シャドウウィザード, ジュンヴァルカン
 シャドウウィザード, モズライジン
 シャドウウィザード, タツゴウゲキ
 シャドウウィザード, アストラエンブレム
 シャドウウィザード, カフジプリンス
 シャドウウィザード, ウインガナドル
 シャドウウィザード, トーセンバジル
 シャドウウィザード, ロイカバード
 シャドウウィザード, ハッピーモーメント
 シャドウウィザード, マイネルスフェーン
 シャドウウィザード, ソールインパクト
 シャドウウィザード, ロッカフラベイビー
 シャドウウィザード, スピリッツミノル
 シャドウウィザード, ルミナスウォリアー
 シャドウウィザード, ラストインパクト
