 シャドウダンサー, ハギノハイブリッド
 シャドウダンサー, サウンズオブアース
 シャドウダンサー, ガリバルディ
 シャドウダンサー, ミヤビジャスパー
 シャドウダンサー, スズカデヴィアス
 シャドウダンサー, モーリス
 シャドウダンサー, ストロベリーキング
 シャドウダンサー, ブレイヴリー
 シャドウダンサー, ロングリバイバル
 シャドウダンサー, ブラックカイト
 シャドウダンサー, オールステイ
 シャドウダンサー, アズマシャトル
 シャドウダンサー, ダンディーズムーン
 シャドウダンサー, ステイインシアトル
 シャドウダンサー, トラキチシャチョウ
 シャドウダンサー, ポメグラネイト
 シャドウダンサー, リーゼントロック
 シャドウダンサー, レーヴミストラル
 シャドウダンサー, シュヴァルグラン
 シャドウダンサー, サトノノブレス
 シャドウダンサー, ダコール
 シャドウダンサー, ベルーフ
 シャドウダンサー, プロモントーリオ
 シャドウダンサー, メイショウカンパク
 シャドウダンサー, アドマイヤフライト
 シャドウダンサー, メイショウウズシオ
 シャドウダンサー, コスモロビン
 シャドウダンサー, ダービーフィズ
