 ステファノス, マイネルフロスト
 ステファノス, エイシンブルズアイ
 ステファノス, ラングレー
 ステファノス, アズマシャトル
 ステファノス, パドルウィール
 ステファノス, ピークトラム
 ステファノス, サングラス
 ステファノス, シンガン
 ステファノス, カゼノコ
 ステファノス, アドマイヤヤング
 ステファノス, デビル
 ステファノス, リーゼントロック
 ステファノス, クリノジュロウジン
 ステファノス, イスラボニータ
 ステファノス, トゥザワールド
 ステファノス, タガノグランパ
 ステファノス, メイクアップ
 ステファノス, ダイワリベラル
 ステファノス, ショウナンラグーン
 ステファノス, ワールドインパクト
 ステファノス, デルカイザー
 ステファノス, クラリティシチー
 ステファノス, サトノフェラーリ
 ステファノス, エアアンセム
 ステファノス, ヨッヘイ
 ステファノス, アルテ
 ステファノス, オウケンブラック
 ステファノス, シャイニープリンス
 ステファノス, レッドアリオン
 ステファノス, ロサギガンティア
 ステファノス, エキストラエンド
 ステファノス, ミトラ
 ステファノス, ダノンシャーク
 ステファノス, メイショウヤタロウ
 ステファノス, ダノンヨーヨー
 ステファノス, キングズオブザサン
 ステファノス, コスモソーンパーク
 ステファノス, ブレイズアトレイル
 ステファノス, トーセンレーヴ
 ステファノス, シェルビー
 ステファノス, インパルスヒーロー
 ステファノス, ヌーヴォレコルト
 ステファノス, ロゴタイプ
 ステファノス, トラストワン
 ステファノス, ナカヤマナイト
 ステファノス, ヒラボクディープ
 ステファノス, ゼンノルジェロ
 ステファノス, タイキパーシヴァル
 ステファノス, エイシンヒカリ
 ステファノス, ディサイファ
 ステファノス, トーセンスターダム
 ステファノス, アンビシャス
 ステファノス, クラレント
 ステファノス, ヴァンセンヌ
 ステファノス, スピルバーグ
 ステファノス, グランデッツァ
 ステファノス, リアルインパクト
 ステファノス, マーティンボロ
 ステファノス, サトノノブレス
 ステファノス, プランスペスカ
 ステファノス, パッションダンス
 ステファノス, マジェスティハーツ
 ステファノス, ヤマカツエース
 ステファノス, メイショウナルト
 ステファノス, アクションスター
 ステファノス, メイショウカンパク
 ステファノス, フレージャパン
 ステファノス, フラガラッハ
 ステファノス, クランモンタナ
 ステファノス, ルージュバック
 ステファノス, ヒストリカル
 ステファノス, ロンギングダンサー
 ステファノス, ウインフルブルーム
 ステファノス, マイネルミラノ
 ステファノス, ロードヴァンドール
 ステファノス, スズカデヴィアス
 ステファノス, ナスノセイカン
 ステファノス, ルミナスウォリアー
 ステファノス, プロディガルサン
 ステファノス, タッチングスピーチ
 ステファノス, アングライフェン
 ステファノス, ヒットザターゲット
 ステファノス, フルーキー
 ステファノス, タンタアレグリア
 ステファノス, ショウナンバッハ
 ステファノス, アルバート
 ステファノス, デニムアンドルビー
 ステファノス, モンドインテロ
 ステファノス, ブラックバゴ
 ステファノス, パリカラノテガミ
 ステファノス, ツクバアズマオー
 ステファノス, カフジプリンス
 ステファノス, マイネルサージュ
 ステファノス, グランアルマダ
 ステファノス, トルークマクト
 ステファノス, マイネルディーン
 ステファノス, ワンアンドオンリー
 ステファノス, アジアエクスプレス
 ステファノス, ベルキャニオン
 ステファノス, アドマイヤデウス
 ステファノス, バウンスシャッセ
 ステファノス, コウエイワンマン
 ステファノス, アデイインザライフ
 ステファノス, クリノカンパニー
 ステファノス, ラブリーデイ
 ステファノス, ショウナンパンドラ
 ステファノス, ペルーサ
 ステファノス, ラストインパクト
 ステファノス, カレンミロティック
 ステファノス, ダコール
 ステファノス, ダービーフィズ
 ステファノス, サトノクラウン
 ステファノス, マリアライト
 ステファノス, ドゥラメンテ
 ステファノス, キタサンブラック
 ステファノス, シュヴァルグラン
 ステファノス, トーホウジャッカル
 ステファノス, フェイムゲーム
 ステファノス, モーリス
 ステファノス, リアルスティール
 ステファノス, カムフィー
 ステファノス, マカヒキ
 ステファノス, ミッキーロケット
 ステファノス, マルターズアポジー
 ステファノス, サクラアンプルール
 ステファノス, サトノアラジン
 ステファノス, レッドファルクス
 ステファノス, グレーターロンドン
 ステファノス, エアスピネル
 ステファノス, ビューティーオンリー
 ステファノス, コンテントメント
 ステファノス, サンライズメジャー
 ステファノス, ロジチャリス
 ステファノス, ヤングマンパワー
 ステファノス, トーキングドラム
 ステファノス, ブラックスピネル
 ステファノス, レインボーライン
 ステファノス, ソウルスターリング
 ステファノス, ネオリアリズム
 ステファノス, シャケトラ
 ステファノス, カデナ
