 タイセイファントム, ダノンレジェンド
 タイセイファントム, サトノタイガー
 タイセイファントム, メイショウノーベル
 タイセイファントム, サウンドガガ
 タイセイファントム, タールタン
 タイセイファントム, ダッシャーワン
 タイセイファントム, エイシンゴージャス
 タイセイファントム, マルカバッケン
 タイセイファントム, サトノプリンシパル
 タイセイファントム, アドマイヤサガス
 タイセイファントム, ノーザンリバー
 タイセイファントム, スリーボストン
 タイセイファントム, インペリアルマーチ
 タイセイファントム, ナンチンノン
 タイセイファントム, シルクフォーチュン
 タイセイファントム, キクノストーム
 タイセイファントム, カジキ
 タイセイファントム, マルカフリート
 タイセイファントム, トキノゲンジ
 タイセイファントム, ミリオンヴォルツ
 タイセイファントム, シゲルカガ
 タイセイファントム, エイシンヴァラー
 タイセイファントム, キョウエイアシュラ
 タイセイファントム, カーティスバローズ
 タイセイファントム, デルマヌラリヒョン
 タイセイファントム, エーシントップ
 タイセイファントム, サクラアドニス
