 ツィンクルソード, ダイアナヘイロー
 ツィンクルソード, ナリタスターワン
 ツィンクルソード, ラインスピリット
 ツィンクルソード, キングハート
 ツィンクルソード, ファインニードル
 ツィンクルソード, アルティマブラッド
 ツィンクルソード, アクティブミノル
 ツィンクルソード, ダイシンサンダー
 ツィンクルソード, プレイズエターナル
 ツィンクルソード, ラヴァーズポイント
 ツィンクルソード, オウノミチ
 ツィンクルソード, ナガラオリオン
 ツィンクルソード, エイシンブルズアイ
 ツィンクルソード, ミッキーラブソング
 ツィンクルソード, トウカイセンス
 ツィンクルソード, バクシンテイオー
 ツィンクルソード, ポメグラネイト
 ツィンクルソード, ラインミーティア
 ツィンクルソード, ダンスディレクター
 ツィンクルソード, メラグラーナ
 ツィンクルソード, アドマイヤゴッド
 ツィンクルソード, スノードラゴン
 ツィンクルソード, フィドゥーシア
 ツィンクルソード, ワキノブレイブ
 ツィンクルソード, ワキノヒビキ
