 ティーズアライズ, アクティブミノル
 ティーズアライズ, タケデンタイガー
 ティーズアライズ, トウショウピスト
 ティーズアライズ, トーセンラーク
 ティーズアライズ, マイネルエスパス
 ティーズアライズ, アンブリカル
 ティーズアライズ, キッズライトオン
 ティーズアライズ, クールホタルビ
 ティーズアライズ, グランドポピー
 ティーズアライズ, スルターナ
 ティーズアライズ, カゼノトビラ
 ティーズアライズ, マコトダッソー
 ティーズアライズ, タケルオウジ
 ティーズアライズ, ディアタイガ
 ティーズアライズ, エンターザスフィア
 ティーズアライズ, キャットコイン
 ティーズアライズ, ミッキークイーン
 ティーズアライズ, ロカ
 ティーズアライズ, アンドリエッテ
 ティーズアライズ, メイショウメイゲツ
 ティーズアライズ, シングウィズジョイ
 ティーズアライズ, ロッカフラベイビー
 ティーズアライズ, クイーンズターフ
 ティーズアライズ, ホワイトウインド
 ティーズアライズ, カービングパス
 ティーズアライズ, ダノングラシアス
 ティーズアライズ, スマートプラネット
 ティーズアライズ, ブルックデイル
 ティーズアライズ, ラクアミ
 ティーズアライズ, ジュエルクイーン
