 ハレルヤボーイ, ブレイブスマッシュ
 ハレルヤボーイ, イモータル
 ハレルヤボーイ, アストラエンブレム
 ハレルヤボーイ, リセエンヌ
 ハレルヤボーイ, シトロン
 ハレルヤボーイ, トウショウドラフタ
 ハレルヤボーイ, クラウンスカイ
 ハレルヤボーイ, ゴッドカリビアン
 ハレルヤボーイ, マコトルーメン
 ハレルヤボーイ, コスモプロテア
 ハレルヤボーイ, アポロジョージア
 ハレルヤボーイ, スマートオーディン
 ハレルヤボーイ, プロディガルサン
 ハレルヤボーイ, マイネルラフレシア
 ハレルヤボーイ, キラージョー
 ハレルヤボーイ, タイセイサミット
 ハレルヤボーイ, アグレアーブル
 ハレルヤボーイ, ロスカボス
 ハレルヤボーイ, レインボーライン
 ハレルヤボーイ, ダイワリアクション
 ハレルヤボーイ, カミノライデン
 ハレルヤボーイ, マウントロブソン
 ハレルヤボーイ, マイネルハニー
 ハレルヤボーイ, ロードクエスト
 ハレルヤボーイ, プランスシャルマン
 ハレルヤボーイ, ミッキーロケット
 ハレルヤボーイ, プレイヤーサムソン
 ハレルヤボーイ, ドレッドノータス
 ハレルヤボーイ, モウカッテル
 ハレルヤボーイ, ケンホファヴァルト
 ハレルヤボーイ, アドマイヤモラール
 ハレルヤボーイ, ダンツプリウス
 ハレルヤボーイ, ストーミーシー
 ハレルヤボーイ, エクラミレネール
 ハレルヤボーイ, サーブルオール
 ハレルヤボーイ, キャプテンペリー
 ハレルヤボーイ, ショウナンライズ
 ハレルヤボーイ, マディディ
 ハレルヤボーイ, カープストリーマー
 ハレルヤボーイ, ボールライトニング
 ハレルヤボーイ, ダノンスパーク
 ハレルヤボーイ, ジュンザワールド
 ハレルヤボーイ, モンスターキング
 ハレルヤボーイ, マテラアリオン
 ハレルヤボーイ, リオンディーズ
 ハレルヤボーイ, エアスピネル
 ハレルヤボーイ, シャドウアプローチ
 ハレルヤボーイ, ユウチェンジ
 ハレルヤボーイ, シュウジ
 ハレルヤボーイ, ツーエムレジェンド
 ハレルヤボーイ, コパノディール
 ハレルヤボーイ, スリラーインマニラ
 ハレルヤボーイ, サイモンゼーレ
 ハレルヤボーイ, ウインオスカー
