 パドルウィール, マイネルフロスト
 パドルウィール, エイシンブルズアイ
 パドルウィール, ステファノス
 パドルウィール, ラングレー
 パドルウィール, アズマシャトル
 パドルウィール, ピークトラム
 パドルウィール, サングラス
 パドルウィール, シンガン
 パドルウィール, カゼノコ
 パドルウィール, アドマイヤヤング
 パドルウィール, デビル
 パドルウィール, リーゼントロック
 パドルウィール, クリノジュロウジン
 パドルウィール, ヤマカツエース
 パドルウィール, シュンドルボン
 パドルウィール, サトノノブレス
 パドルウィール, リアファル
 パドルウィール, レコンダイト
 パドルウィール, ムスカテール
 パドルウィール, デニムアンドルビー
 パドルウィール, ヴォルシェーブ
 パドルウィール, スズカデヴィアス
 パドルウィール, トーホウジャッカル
 パドルウィール, トルークマクト
 パドルウィール, マイネルラクリマ
 パドルウィール, マルターズアポジー
 パドルウィール, ヒストリカル
 パドルウィール, クラリティスカイ
 パドルウィール, ロードヴァンドール
 パドルウィール, ストロングタイタン
 パドルウィール, フルーキー
 パドルウィール, レッドソロモン
 パドルウィール, スピリッツミノル
 パドルウィール, コスモソーンパーク
 パドルウィール, ダコール
 パドルウィール, ダノンメジャー
 パドルウィール, ベルーフ
 パドルウィール, クランモンタナ
 パドルウィール, ケイティープライド
 パドルウィール, マイネルハニー
 パドルウィール, ナスノセイカン
 パドルウィール, ルミナスウォリアー
 パドルウィール, プロディガルサン
 パドルウィール, ルージュバック
 パドルウィール, タッチングスピーチ
 パドルウィール, ヌーヴォレコルト
 パドルウィール, アングライフェン
 パドルウィール, ヒットザターゲット
 パドルウィール, ダッシングブレイズ
 パドルウィール, アストラエンブレム
 パドルウィール, クラリティシチー
 パドルウィール, バーディーイーグル
 パドルウィール, タイセイサミット
 パドルウィール, マイネルミラノ
 パドルウィール, デンコウアンジュ
 パドルウィール, カムフィー
 パドルウィール, メドウラーク
 パドルウィール, レッドレイヴン
 パドルウィール, トーセンレーヴ
 パドルウィール, ゼーヴィント
 パドルウィール, ソールインパクト
 パドルウィール, フェルメッツァ
 パドルウィール, タツゴウゲキ
 パドルウィール, ウインインスパイア
 パドルウィール, ヴォージュ
 パドルウィール, フェイマスエンド
 パドルウィール, メートルダール
 パドルウィール, ミッキーロケット
 パドルウィール, ショウナンバッハ
 パドルウィール, マキシマムドパリ
 パドルウィール, マウントロブソン
 パドルウィール, バンドワゴン
 パドルウィール, ケントオー
 パドルウィール, クィーンチャーム
 パドルウィール, ストーンウェア
 パドルウィール, サラトガスピリット
