 フェスティヴタロー, ディサイファ
 フェスティヴタロー, マイネルラクリマ
 フェスティヴタロー, ダークシャドウ
 フェスティヴタロー, タマモベストプレイ
 フェスティヴタロー, ダノンヨーヨー
 フェスティヴタロー, マジェスティハーツ
 フェスティヴタロー, タムロスカイ
 フェスティヴタロー, カネトシディオス
 フェスティヴタロー, トーセンジャガー
 フェスティヴタロー, ゴールデンナンバー
 フェスティヴタロー, レインスティック
 フェスティヴタロー, カルドブレッサ
 フェスティヴタロー, シルクアーネスト
 フェスティヴタロー, アーデント
 フェスティヴタロー, ペルーサ
 フェスティヴタロー, パドトロワ
 フェスティヴタロー, ヴァンセンヌ
 フェスティヴタロー, アルフレード
 フェスティヴタロー, フルーキー
 フェスティヴタロー, シャイニープリンス
 フェスティヴタロー, リルダヴァル
 フェスティヴタロー, エキストラエンド
 フェスティヴタロー, マイネルメリエンダ
 フェスティヴタロー, アンコイルド
 フェスティヴタロー, タガノグランパ
 フェスティヴタロー, サトノギャラント
 フェスティヴタロー, メイショウヤタロウ
 フェスティヴタロー, フレイムヘイロー
 フェスティヴタロー, マイネルホウオウ
 フェスティヴタロー, ハノハノ
 フェスティヴタロー, エイシンヒカリ
 フェスティヴタロー, サトノアラジン
 フェスティヴタロー, ヒラボクディープ
 フェスティヴタロー, ユールシンギング
 フェスティヴタロー, フルアクセル
 フェスティヴタロー, ノーステア
 フェスティヴタロー, ゲシュタルト
