 フェノーメノ, ウインバリアシオン
 フェノーメノ, ホッコーブレーヴ
 フェノーメノ, ラストインパクト
 フェノーメノ, サトノアポロ
 フェノーメノ, ダービーフィズ
 フェノーメノ, サイレントメロディ
 フェノーメノ, アスカクリチャン
 フェノーメノ, ジャガーメイル
 フェノーメノ, オーシャンブルー
 フェノーメノ, サクラアルディート
 フェノーメノ, アドマイヤフライト
 フェノーメノ, プロモントーリオ
 フェノーメノ, マイネルジェイド
 フェノーメノ, トレイルブレイザー
 フェノーメノ, アドマイヤデウス
 フェノーメノ, サウンズオブアース
 フェノーメノ, フラガラッハ
 フェノーメノ, ステラウインド
 フェノーメノ, タマモベストプレイ
 フェノーメノ, トーセンアルニカ
 フェノーメノ, クリールカイザー
 フェノーメノ, マイネルメダリスト
 フェノーメノ, ラブイズブーシェ
 フェノーメノ, キズナ
 フェノーメノ, タニノエポレット
 フェノーメノ, フェイムゲーム
 フェノーメノ, ゴールドシップ
 フェノーメノ, サトノノブレス
 フェノーメノ, アドマイヤラクティ
 フェノーメノ, レッドカドー
 フェノーメノ, ヒットザターゲット
 フェノーメノ, デスペラード
 フェノーメノ, スピルバーグ
 フェノーメノ, ジェンティルドンナ
 フェノーメノ, イスラボニータ
 フェノーメノ, エピファネイア
 フェノーメノ, デニムアンドルビー
 フェノーメノ, カレンブラックヒル
 フェノーメノ, ダークシャドウ
 フェノーメノ, マイネルラクリマ
 フェノーメノ, ディサイファ
 フェノーメノ, マーティンボロ
 フェノーメノ, ペルーサ
 フェノーメノ, トーセンジョーダン
 フェノーメノ, ジャスタウェイ
 フェノーメノ, ハープスター
 フェノーメノ, アイヴァンホウ
 フェノーメノ, ワンアンドオンリー
 フェノーメノ, アンコイルド
 フェノーメノ, アップウィズザバーズ
 フェノーメノ, サトノシュレン
 フェノーメノ, トレーディングレザー
 フェノーメノ, トゥザワールド
 フェノーメノ, ラキシス
 フェノーメノ, トーセンラー
 フェノーメノ, ヴィルシーナ
 フェノーメノ, メイショウマンボ
