 プロクリス, サングレアル
 プロクリス, ブランネージュ
 プロクリス, マイネオーラム
 プロクリス, マローブルー
 プロクリス, ニシノアカツキ
 プロクリス, マジックタイム
 プロクリス, イサベル
 プロクリス, マイネグレヴィル
 プロクリス, デルフィーノ
 プロクリス, ハピネスダンサー
 プロクリス, ヤマニンアリエッタ
 プロクリス, プレミアステイタス
 プロクリス, ムードスウィングス
 プロクリス, スペランツァデーア
 プロクリス, シャドウカラーズ
 プロクリス, パナシュドール
 プロクリス, シードオブハピネス
 プロクリス, カフェブリリアント
 プロクリス, ベルルミエール
 プロクリス, ウリウリ
 プロクリス, スマートレイアー
 プロクリス, マコトナワラタナ
 プロクリス, レッドリヴェール
 プロクリス, ダンスアミーガ
 プロクリス, ホエールキャプチャ
 プロクリス, ハナズゴール
 プロクリス, コナブリュワーズ
 プロクリス, メイショウマンボ
 プロクリス, フォーエバーモア
 プロクリス, バーバラ
 プロクリス, アミカブルナンバー
 プロクリス, リアルヴィーナス
