 メイショウヒデタダ, オジュウチョウサン
 メイショウヒデタダ, ウインヤード
 メイショウヒデタダ, タナトス
 メイショウヒデタダ, エイシンフランキー
 メイショウヒデタダ, アロヒラニ
 メイショウヒデタダ, ビップハテンコウ
 メイショウヒデタダ, ビコーピリラニ
 メイショウヒデタダ, ブライトボーイ
 メイショウヒデタダ, ユキノスライダー
 メイショウヒデタダ, トーセンハナミズキ
 メイショウヒデタダ, ラガーギアチェンジ
 メイショウヒデタダ, クラウンデピュティ
 メイショウヒデタダ, テーオーゼウス
 メイショウヒデタダ, ドリームセーリング
 メイショウヒデタダ, ニホンピロバロン
 メイショウヒデタダ, ウインアーマー
 メイショウヒデタダ, タマモプラネット
 メイショウヒデタダ, メイショウアラワシ
 メイショウヒデタダ, ソロル
 メイショウヒデタダ, アップトゥデイト
 メイショウヒデタダ, マイネルフィエスタ
 メイショウヒデタダ, メリーモナーク
 メイショウヒデタダ, オースミムーン
 メイショウヒデタダ, ラステラ
 メイショウヒデタダ, テイエムシシーポス
 メイショウヒデタダ, マイネルアイザック
 メイショウヒデタダ, クリノキングムーン
 メイショウヒデタダ, メイショウヤギリ
 メイショウヒデタダ, ウインレーベン
 メイショウヒデタダ, ウォンテッド
 メイショウヒデタダ, サンレイデューク
 メイショウヒデタダ, タイセイドリーム
 メイショウヒデタダ, ルペールノエル
 メイショウヒデタダ, アイティテイオー
 メイショウヒデタダ, ワンダフルワールド
 メイショウヒデタダ, クリノダイコクテン
 メイショウヒデタダ, ティリアンパープル
