 モウカッテル, サトノダイヤモンド
 モウカッテル, レプランシュ
 モウカッテル, ロイカバード
 モウカッテル, ノガロ
 モウカッテル, オンザロックス
 モウカッテル, ロワアブソリュー
 モウカッテル, オウケンダイヤ
 モウカッテル, ウルトラバロック
 モウカッテル, マカヒキ
 モウカッテル, リオンディーズ
 モウカッテル, エアスピネル
 モウカッテル, タイセイサミット
 モウカッテル, アドマイヤエイカン
 モウカッテル, エディクト
 モウカッテル, イマジンザット
 モウカッテル, モーゼス
 モウカッテル, シャララ
 モウカッテル, ケンホファヴァルト
 モウカッテル, ヴィガーエッジ
 モウカッテル, マウントロブソン
 モウカッテル, マイネルハニー
 モウカッテル, ロードクエスト
 モウカッテル, プランスシャルマン
 モウカッテル, ミッキーロケット
 モウカッテル, プレイヤーサムソン
 モウカッテル, ドレッドノータス
 モウカッテル, ハレルヤボーイ
 モウカッテル, アドマイヤモラール
