 モーリス, ミッキーアイル
 モーリス, ウインフルブルーム
 モーリス, タガノグランパ
 モーリス, ワイレアワヒネ
 モーリス, アグネスミニッツ
 モーリス, ビップレボルシオン
 モーリス, ニシケンモノノフ
 モーリス, カシノヒカル
 モーリス, カクシアジ
 モーリス, クリノカンパニー
 モーリス, ビービーブレイン
 モーリス, シセイカスガ
 モーリス, ロサギガンティア
 モーリス, アジアエクスプレス
 モーリス, クラリティシチー
 モーリス, リーゼントロック
 モーリス, ベルキャニオン
 モーリス, ナスノアオバ
 モーリス, ウインマーレライ
 モーリス, マイネルアウラート
 モーリス, ネオヴァロン
 モーリス, サクラエール
 モーリス, シベリアンタイガー
 モーリス, ミッキーデータ
 モーリス, ダノンアンビシャス
 モーリス, クインズハリジャン
 モーリス, ハギノハイブリッド
 モーリス, サウンズオブアース
 モーリス, ガリバルディ
 モーリス, シャドウダンサー
 モーリス, ミヤビジャスパー
 モーリス, スズカデヴィアス
 モーリス, ストロベリーキング
 モーリス, ブレイヴリー
 モーリス, ロングリバイバル
 モーリス, ブラックカイト
 モーリス, オールステイ
 モーリス, アズマシャトル
 モーリス, ダンディーズムーン
 モーリス, ステイインシアトル
 モーリス, トラキチシャチョウ
 モーリス, ポメグラネイト
 モーリス, インパルスヒーロー
 モーリス, エキストラエンド
 モーリス, ブレイズアトレイル
 モーリス, クラレント
 モーリス, アーデント
 モーリス, カオスモス
 モーリス, フラアンジェリコ
 モーリス, マイネルメリエンダ
 モーリス, コスモソーンパーク
 モーリス, インプレスウィナー
 モーリス, シャイニープリンス
 モーリス, タガノブルグ
 モーリス, ラインスピリット
 モーリス, ネオリアリズム
 モーリス, レインボーライン
 モーリス, ヌーヴォレコルト
 モーリス, ヤマカツエース
 モーリス, マイネルフロスト
 モーリス, ダービーフィズ
 モーリス, メイショウスザンナ
 モーリス, ヒットザターゲット
 モーリス, ダンツキャンサー
 モーリス, レッドソロモン
 モーリス, スーパームーン
 モーリス, トーセンレーヴ
 モーリス, ロジチャリス
 モーリス, レッドリヴェール
 モーリス, ヴァンセンヌ
 モーリス, フィエロ
 モーリス, ケイアイエレガント
 モーリス, カレンブラックヒル
 モーリス, レッドアリオン
 モーリス, ダノンシャーク
 モーリス, サンライズメジャー
 モーリス, リアルインパクト
 モーリス, サトノギャラント
 モーリス, メイショウマンボ
 モーリス, ダイワマッジョーレ
 モーリス, サクラゴスペル
 モーリス, イスラボニータ
 モーリス, サトノアラジン
 モーリス, アルビアーノ
 モーリス, レッツゴードンキ
 モーリス, トーセンスターダム
 モーリス, ロゴタイプ
 モーリス, アルマワイオリ
 モーリス, クラリティスカイ
 モーリス, ディサイファ
 モーリス, リアルスティール
 モーリス, コンテントメント
 モーリス, ステファノス
 モーリス, アンビシャス
 モーリス, アドマイヤデウス
 モーリス, ルージュバック
 モーリス, ヒストリカル
 モーリス, ラブリーデイ
 モーリス, サトノノブレス
 モーリス, エイシンヒカリ
 モーリス, カムフィー
 モーリス, サトノクラウン
