 ライドオンウインド, タガノアザガル
 ライドオンウインド, アクティブミノル
 ライドオンウインド, ヤマカツエース
 ライドオンウインド, フミノムーン
 ライドオンウインド, ブラッククローバー
 ライドオンウインド, ケツァルテナンゴ
 ライドオンウインド, アポロノシンザン
 ライドオンウインド, ブリクスト
 ライドオンウインド, セカンドテーブル
 ライドオンウインド, ゴールドペガサス
 ライドオンウインド, コパノハート
 ライドオンウインド, ビヨンジオール
 ライドオンウインド, レンイングランド
 ライドオンウインド, ペイシャオブロー
 ライドオンウインド, ワキノヒビキ
 ライドオンウインド, マジックシャトル
 ライドオンウインド, メイショウマサカゼ
 ライドオンウインド, クロスクリーガー
 ライドオンウインド, ダノンリバティ
 ライドオンウインド, タマノブリュネット
 ライドオンウインド, ゴールデンバローズ
 ライドオンウインド, カラパナビーチ
 ライドオンウインド, ノボバカラ
 ライドオンウインド, ダイワインパルス
 ライドオンウインド, オールブラッシュ
 ライドオンウインド, センチュリオン
 ライドオンウインド, デブリン
 ライドオンウインド, クワドループル
 ライドオンウインド, シンゼンガンプ
 ライドオンウインド, ラッキープリンス
 ライドオンウインド, ディアドムス
 ライドオンウインド, アスカノロマン
 ライドオンウインド, モンドクラッセ
 ライドオンウインド, ロワジャルダン
 ライドオンウインド, ダブルスター
 ライドオンウインド, グランドシチー
 ライドオンウインド, ローマンレジェンド
 ライドオンウインド, イッシンドウタイ
 ライドオンウインド, ストロングサウザー
 ライドオンウインド, ナリタポセイドン
 ライドオンウインド, スターバリオン
 ライドオンウインド, インカンテーション
