 レーザーバレット, エアハリファ
 レーザーバレット, ワイドバッハ
 レーザーバレット, アドマイヤロイヤル
 レーザーバレット, ゴールスキー
 レーザーバレット, キョウワダッフィー
 レーザーバレット, マルカフリート
 レーザーバレット, ロゴタイプ
 レーザーバレット, キョウエイアシュラ
 レーザーバレット, グレープブランデー
 レーザーバレット, ジョーメテオ
 レーザーバレット, ポアゾンブラック
 レーザーバレット, サトノタイガー
 レーザーバレット, サトノプリンシパル
 レーザーバレット, キクノストーム
 レーザーバレット, シルクフォーチュン
 レーザーバレット, モーニン
 レーザーバレット, タールタン
 レーザーバレット, タガノトネール
 レーザーバレット, アンズチャン
 レーザーバレット, プロトコル
 レーザーバレット, アドマイヤサガス
 レーザーバレット, レッドファルクス
 レーザーバレット, サクラエール
 レーザーバレット, シゲルカガ
 レーザーバレット, シンキングマシーン
