 ワキノヒビキ, ミュゼスルタン
 ワキノヒビキ, アヴニールマルシェ
 ワキノヒビキ, ニシノラッシュ
 ワキノヒビキ, コメート
 ワキノヒビキ, ブリクスト
 ワキノヒビキ, ナヴィオン
 ワキノヒビキ, カシノハリウッド
 ワキノヒビキ, ハナモモ
 ワキノヒビキ, ヒルノマレット
 ワキノヒビキ, トーホウハニー
 ワキノヒビキ, ギンパリ
 ワキノヒビキ, ディアコンチェルト
 ワキノヒビキ, テイケイラピッド
 ワキノヒビキ, ゴッドバローズ
 ワキノヒビキ, ラミーロ
 ワキノヒビキ, コスモピーコック
 ワキノヒビキ, グラスエトワール
 ワキノヒビキ, セカンドテーブル
 ワキノヒビキ, サフィロス
 ワキノヒビキ, オープンザウェイ
 ワキノヒビキ, アポロノシンザン
 ワキノヒビキ, アクティブミノル
 ワキノヒビキ, マイネルグルマン
 ワキノヒビキ, コウソクコーナー
 ワキノヒビキ, ゴールドペガサス
 ワキノヒビキ, ロンバルディア
 ワキノヒビキ, ウォリアーズソウル
 ワキノヒビキ, タガノアザガル
 ワキノヒビキ, ヤマカツエース
 ワキノヒビキ, フミノムーン
 ワキノヒビキ, ブラッククローバー
 ワキノヒビキ, ケツァルテナンゴ
 ワキノヒビキ, コパノハート
 ワキノヒビキ, ビヨンジオール
 ワキノヒビキ, ライドオンウインド
 ワキノヒビキ, レンイングランド
 ワキノヒビキ, ペイシャオブロー
 ワキノヒビキ, マジックシャトル
 ワキノヒビキ, メイショウマサカゼ
 ワキノヒビキ, ファインニードル
 ワキノヒビキ, ラインミーティア
 ワキノヒビキ, ダンスディレクター
 ワキノヒビキ, メラグラーナ
 ワキノヒビキ, アドマイヤゴッド
 ワキノヒビキ, アルティマブラッド
 ワキノヒビキ, ミッキーラブソング
 ワキノヒビキ, スノードラゴン
 ワキノヒビキ, フィドゥーシア
 ワキノヒビキ, ラヴァーズポイント
 ワキノヒビキ, ワキノブレイブ
 ワキノヒビキ, ツィンクルソード
 ワキノヒビキ, プレイズエターナル
 ワキノヒビキ, ダノンプラチナ
 ワキノヒビキ, アルマワイオリ
 ワキノヒビキ, クラリティスカイ
 ワキノヒビキ, ネオルミエール
 ワキノヒビキ, タガノエスプレッソ
 ワキノヒビキ, ブライトエンブレム
 ワキノヒビキ, アッシュゴールド
 ワキノヒビキ, コスモナインボール
 ワキノヒビキ, ジャストドゥイング
 ワキノヒビキ, ペプチドウォヘッド
