 ヒットザターゲット, デスペラード
 ヒットザターゲット, トーセンラー
 ヒットザターゲット, アンコイルド
 ヒットザターゲット, ラキシス
 ヒットザターゲット, ジェンティルドンナ
 ヒットザターゲット, アクションスター
 ヒットザターゲット, トゥザグローリー
 ヒットザターゲット, コウエイオトメ
 ヒットザターゲット, マイネオーチャード
 ヒットザターゲット, トレイルブレイザー
 ヒットザターゲット, コスモロビン
 ヒットザターゲット, ゴールドシップ
 ヒットザターゲット, アドマイヤラクティ
 ヒットザターゲット, バンデ
 ヒットザターゲット, サトノノブレス
 ヒットザターゲット, エーシンミラージュ
 ヒットザターゲット, サイモントルナーレ
 ヒットザターゲット, タマモベストプレイ
 ヒットザターゲット, エーシンスピーダー
 ヒットザターゲット, ラストインパクト
 ヒットザターゲット, フーラブライド
 ヒットザターゲット, スピリタス
 ヒットザターゲット, メイショウマンボ
 ヒットザターゲット, ヴィクトリースター
 ヒットザターゲット, プレティオラス
 ヒットザターゲット, カレンブラックヒル
 ヒットザターゲット, コスモソーンパーク
 ヒットザターゲット, ダコール
 ヒットザターゲット, キャトルフィーユ
 ヒットザターゲット, マイネルミラノ
 ヒットザターゲット, マコトブリジャール
 ヒットザターゲット, ラングレー
 ヒットザターゲット, レッドレイヴン
 ヒットザターゲット, ハナノシンノスケ
 ヒットザターゲット, アロマティコ
 ヒットザターゲット, マデイラ
 ヒットザターゲット, ウインマーレライ
 ヒットザターゲット, ミッキードリーム
 ヒットザターゲット, メイショウナルト
 ヒットザターゲット, スマートギア
 ヒットザターゲット, ディサイファ
 ヒットザターゲット, デウスウルト
 ヒットザターゲット, パッションダンス
 ヒットザターゲット, ミトラ
 ヒットザターゲット, キングズオブザサン
 ヒットザターゲット, ダノンジェラート
 ヒットザターゲット, サングレアル
 ヒットザターゲット, ネオブラックダイヤ
 ヒットザターゲット, フレージャパン
 ヒットザターゲット, サンレイレーザー
 ヒットザターゲット, メイショウカンパク
 ヒットザターゲット, ゲシュタルト
 ヒットザターゲット, アドマイヤフライト
 ヒットザターゲット, コスモオオゾラ
 ヒットザターゲット, ユールシンギング
 ヒットザターゲット, ナカヤマナイト
 ヒットザターゲット, アルフレード
 ヒットザターゲット, アーデント
 ヒットザターゲット, マイネルディーン
